SN,ProjectName,Registration Number,Authorised Name,Promoter Name,Project Type,District,Tehsil,Approved Date,Proposed End Date,Extended Proposed End Date,Website,View Certificate,Details,Map
"
                                                                70 
                                                            ",KRISHNA GRAND CITY - III,"
 **
PCGRERA060618000070
",LALIT RATHI,SHREE KRISHNA COLONISERS,Group Housing,DURG,DURG,06 Jun 2018,"
                                                                31 Dec 2023
                                                            ",30 Jun 2024,"


","
 
","
 
","
"
"
                                                                71 
                                                            ",CAPITAL HOMES EXTENSION,"
 **
PCGRERA070618000071
",VIJAY NATHANI,SHRI VRINDAVAN DEVELOPERS,Plotted Development,RAIPUR,RAIPUR,07 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                72 
                                                            ",O2 TRADE CENTER,"
PCGRERA070618000072
",PRATIK SHARMA,MAHASAGAR AGRO AND FINANCE PVT. LTD,Commercial,RAIPUR,RAIPUR,07 Jun 2018,"
                                                                31 Dec 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                73 
                                                            ",SHREERAM CITY PHASE - II,"
PCGRERA070618000073
",OM PRAKASH SHARMA,SHREERAM DEVELOPERS,Group Housing,DURG,PATAN,07 Jun 2018,"
                                                                14 Apr 2022
                                                            ",14 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                74 
                                                            ",CHOUHAN'S PARK VIEW PHASE-IV,"
PCGRERA070618000074
",SURAJ CHOUHAN,C.G. HOUSING COMPANY,Group Housing,DURG,DURG,07 Jun 2018,"
                                                                23 May 2023
                                                            ",23 Feb 2024,"


","
 
","
 
","
 
"
"
                                                                75 
                                                            ",KONARK VASHUDEO VIHAR - I,"
 **
PCGRERA070618000075
",SUDHIR SINGH,KONARK BUILDER,Group Housing,SURGUJA,AMBIKAPUR,07 Jun 2018,"
                                                                30 Sep 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                76 
                                                            ",KONARK GIRIRAJ,"
PCGRERA070618000076
",SUDHIR SINGH,KONARK BUILDER,Group Housing,SURGUJA,AMBIKAPUR,07 Jun 2018,"
                                                                31 Mar 2021
                                                            ",30 Dec 2021,"


","
 Expired
","
 
","
 
"
"
                                                                77 
                                                            ",SIMRAN SQURE,"
PCGRERA070618000077
",RAJKUMAR SIHANI,SEVEN SKY BUILDERS & DEVELOPERS PVT. LTD. ,Group Housing,RAIPUR,RAIPUR,07 Jun 2018,"
                                                                31 Mar 2021
                                                            ",30 Dec 2021,"


","
 Expired
","
 
","
 
"
"
                                                                78 
                                                            ",SHIVAM ORCHID,"
 **
PCGRERA070618000078
",DWARIKA DAS BAJAJ,KOEL VANIJYA PRIVATE LIMITED,Group Housing,BILASPUR,BILASPUR,07 Jun 2018,"
                                                                31 Jul 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                79 
                                                            ",PRITHVI GREENS PHASE- I,"
 **
PCGRERA070618000079
",GIRDHAR SONI,GIRDHAR LAL SONI,Plotted Development,MUNGELI,MUNGELI,07 Jun 2018,"
                                                                30 Apr 2021
                                                            ",30 Oct 2021,"


","
 
","
 
","
 
"
"
                                                                80 
                                                            ",YUG HOMES,"
 **
PCGRERA070618000080
",JAYVIR SINGH GUPTA,JAYVIR SINGH GUPTA,Plotted Development,DURG,DURG,07 Jun 2018,"
                                                                31 Jan 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                81 
                                                            ",SHREERAM HEIGHTS PHASE - I,"
 **
PCGRERA070618000081
",OM PRAKASH SHRMA,VANDEMATRAM BUILDERS & SHREERAM DEVELOPERS,Group Housing,DURG,DURG,07 Jun 2018,"
                                                                31 May 2019
                                                            ",-,"


","
 
","
 
","
"
